id,host_id,latitude,longitude,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,bedrooms,host_listings_count,calculated_host_listings_count_shared_rooms,minimum_nights_avg_ntm,maximum_nights_avg_ntm,property_type,host_location,host_response_time,host_is_superhost,host_identity_verified,neighbourhood_cleansed,property_type,room_type,first_review,last_review,instant_bookable,has_availability
161913,767543.0,38.91296,-77.04639,100%,0%,12.0,1.0,1.0,1.0,$99.00,31.0,1125.0,30.0,60.0,90.0,365.0,5.0,0.0,0.0,4.6,4.6,5.0,4.6,5.0,4.2,4.2,2.0,1.0,1.0,0.04,0.0,0.0,1.0,2.0,0.0,31.0,1125.0,Private room in townhouse,"Washington, DC",within a few hours,f,t,"Dupont Circle, Connecticut Avenue/K Street",Private room in townhouse,Private room,12/10/2014,10/08/2015,f,t
164069,5059.0,38.91366,-77.00803,100%,94%,5.0,2.0,1.0,1.0,$115.00,1.0,1125.0,14.0,44.0,74.0,349.0,265.0,32.0,1.0,4.88,4.91,4.91,4.94,4.91,4.53,4.75,5.0,0.0,5.0,1.56,192.0,22080.0,1.0,5.0,0.0,1.0,1125.0,Private room in home,"Washington, DC",within an hour,t,t,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Private room in home,Private room,12/07/2011,18/05/2025,f,t
174808,835242.0,38.86432,-76.98749,100%,71%,4.0,2.0,1.0,1.0,$95.00,2.0,20.0,23.0,50.0,80.0,170.0,93.0,6.0,2.0,4.95,4.87,4.96,4.91,4.98,4.67,4.91,1.0,0.0,1.0,0.83,36.0,3420.0,1.0,1.0,0.0,2.0,20.0,Private room in home,"Washington, DC",within a day,t,f,Historic Anacostia,Private room in home,Private room,11/04/2016,14/06/2025,f,t
175608,50148.0,38.90756,-77.02212,90%,89%,7.0,4.0,1.0,2.0,$72.00,31.0,365.0,0.0,7.0,13.0,13.0,191.0,1.0,0.0,4.31,4.49,4.44,4.7,4.57,4.68,4.48,2.0,2.0,0.0,1.15,62.0,4464.0,2.0,5.0,0.0,31.0,365.0,Entire rental unit,"Berkeley, CA",within a few hours,f,t,"Shaw, Logan Circle",Entire rental unit,Entire home/apt,06/10/2011,24/08/2024,f,t
178395,852801.0,38.96165,-77.01858,,,2.0,1.0,1.5,4.0,$255.00,31.0,730.0,30.0,60.0,90.0,365.0,0.0,0.0,0.0,,,,,,,,2.0,1.0,1.0,,0.0,0.0,1.0,2.0,0.0,31.0,730.0,Private room in home,"Washington D.C., DC",,f,t,"Takoma, Brightwood, Manor Park",Private room in home,Private room,,,f,t
196429,956417.0,38.96923,-77.02041,,,6.0,3.0,1.0,2.0,$119.00,31.0,1125.0,23.0,53.0,83.0,358.0,5.0,0.0,0.0,4.2,4.4,4.2,5.0,5.0,4.6,4.2,1.0,1.0,0.0,0.04,0.0,0.0,0.0,1.0,0.0,31.0,1125.0,Entire guest suite,"Washington, DC",,f,t,"Takoma, Brightwood, Manor Park",Entire guest suite,Entire home/apt,27/10/2014,01/04/2022,f,t
198685,966613.0,38.93395,-77.01625,100%,80%,5.0,2.0,1.5,1.0,$59.00,31.0,365.0,3.0,3.0,33.0,213.0,162.0,5.0,0.0,4.74,4.8,4.54,4.79,4.83,4.48,4.69,1.0,0.0,1.0,0.96,255.0,15045.0,1.0,1.0,0.0,31.0,365.0,Private room in townhouse,"Washington, DC",within an hour,t,t,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Private room in townhouse,Private room,03/09/2011,03/05/2025,f,t
201116,983611.0,38.97474,-77.01997,80%,67%,1.0,2.0,1.0,2.0,$80.00,28.0,730.0,17.0,28.0,28.0,290.0,228.0,3.0,0.0,4.48,4.58,4.38,4.75,4.81,4.85,4.55,1.0,1.0,0.0,1.36,168.0,13440.0,1.0,1.0,0.0,28.0,730.0,Entire rental unit,"Washington, DC",within a day,f,t,"Takoma, Brightwood, Manor Park",Entire rental unit,Entire home/apt,16/09/2011,13/04/2025,f,t
204741,1005751.0,38.82768,-76.99624,100%,86%,5.0,2.0,1.0,1.0,$37.00,31.0,210.0,0.0,14.0,44.0,134.0,116.0,0.0,0.0,4.59,4.69,4.66,4.67,4.66,3.73,4.62,2.0,0.0,2.0,0.69,0.0,0.0,1.0,3.0,0.0,31.0,210.0,Private room in condo,"Washington, DC",within an hour,t,t,"Congress Heights, Bellevue, Washington Highlands",Private room in condo,Private room,16/09/2011,28/02/2023,f,t
223203,1159505.0,38.98853,-77.04441,100%,67%,5.0,2.0,1.5,1.0,$81.00,2.0,3365.0,30.0,60.0,90.0,365.0,15.0,0.0,0.0,4.8,4.67,4.67,4.87,4.93,4.93,4.73,4.0,0.0,4.0,0.09,0.0,0.0,1.0,4.0,0.0,2.0,3365.0,Private room in home,"Washington, DC",within a day,f,f,"Colonial Village, Shepherd Park, North Portal Estates",Private room in home,Private room,24/10/2011,19/05/2024,t,t
223922,738459.0,38.94482,-77.04437,100%,99%,6.0,3.0,1.5,2.0,$130.00,1.0,1125.0,9.0,21.0,36.0,311.0,230.0,22.0,2.0,4.76,4.76,4.75,4.93,4.9,4.78,4.73,4.0,3.0,1.0,1.38,132.0,17160.0,1.0,5.0,0.0,1.0,1125.0,Entire home,"Washington D.C., DC",within an hour,t,t,"Brightwood Park, Crestwood, Petworth",Entire home,Entire home/apt,25/09/2011,01/06/2025,t,t
251611,1159505.0,38.98853,-77.04441,100%,67%,5.0,3.0,1.5,2.0,$81.00,2.0,3365.0,30.0,60.0,90.0,365.0,1.0,0.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,0.0,4.0,0.01,0.0,0.0,1.0,4.0,0.0,2.0,3365.0,Private room in home,"Washington, DC",within a day,f,f,"Colonial Village, Shepherd Park, North Portal Estates",Private room in home,Private room,10/03/2019,10/03/2019,f,t
251615,1159505.0,38.98853,-77.04441,100%,67%,5.0,2.0,1.5,1.0,$81.00,2.0,1825.0,30.0,60.0,90.0,365.0,6.0,0.0,0.0,4.83,5.0,4.83,5.0,5.0,4.83,4.67,4.0,0.0,4.0,0.07,0.0,0.0,1.0,4.0,0.0,2.0,1825.0,Private room in home,"Washington, DC",within a day,f,f,"Colonial Village, Shepherd Park, North Portal Estates",Private room in home,Private room,30/06/2018,19/08/2022,t,t
